joy	פֿרייד
question	פֿראַגע
giraffe	זשיראַף
flight	פֿלי
fly	פֿליִען
Scottish	שאָטיש
soup	זופּ
pumpkin	דיניע
Lissitzky	ליסיצקי
singer	זינגער
Abramovitch	אַבראַמאָוויטש
Sternberg	שטערנבערג
Adler	אַדלער
Rosenberg	ראָזענבערג
troupe	טרופּע
draw	צייכענען
diminutive	־ל
village	דערפֿל
cookie	קיכל
tailoress	שנײַדערקע
sin	זינד
sinful	זינדיק
bean	באָב
bean	בעבל
potato	קאַרטאָפֿל
potato	בולבע
songstress	זינגערין
kasha	קאַשע
drunk	שיכּור
scarf	שאַל
יונגער	יונגער־מאַן
gabbai	גבאי
adult	לײַט
respectable	לײַטיש
businessman	געשעפֿטסמאַן
salmon	לאַקס
reading	לייענונג
nut	נוס
sneeze	ניס
use	נוץ
stuffed	האָלעפּצעס
tomato	טאָמאַט
cucumber	אוגערקע
teshuva	תּשובֿה
adverb	אַדווערב
adjective	אַדיעקטיוו
noun	סובסטאַנטיוו
adverbial	קאָנווערב
auxiliary verb	הילפֿסווערב
leech	פּיאַווקע
bad luck	שלימזל
slovenly	שלימזלניק
artist	קינסטלער
artistic	קינסטלעריש
sheet	בויגן
archer	בויגן־שיסער
shoot	שיסן
file	פֿײַלן
cradle	וויג
lullaby	וויגליד
shoulder	פּלייצע
ink	טינט
rabbit	האָז
turkey	אינדיק
bakery	בעקערײַ
baker	בעקער
comb	קאַם
cake	קוכן
glove	הענטשקע
Italy	איטאַליע
Greek	גריך
Greece	גריכנלאַנד
professor	פּראָפֿעסאָר
Purim	פּורים
Purim	פּורימשפּיל
death camp	אומברענג־לאַגער
kill	אומברענגען
bag	זאַק
use	ניצן
key	שליסל
zloty	זלאָטע
Romania	רומעניע
China	כינע
Chinese	כינעזיש
Chinese	כינעזער
popular	פֿאָלקס
public school	פֿאָלקסשול
saying	פֿאָלקסווערטל
glue	קליי
glue	צוקלעפּן
glued	צוגעקלעפּט
eggplant	פּאַטלעזשאַן
kitchen	קיך
friend	חבֿר
gang	חבֿרה
guy	חבֿרה־מאַן
friendly	חבֿריש
friendship	חבֿרשאַפֿט
yahrzeit	יאָרצײַט
shape	פֿאָרעם
government	רעגירונג
governmental	מלוכהש
receive	קריגן
appetite	אַפּעטיט
napkin	סערוועטקע
damage	שעדיקן
shout	שרײַען
peafowl	פּאַווע
probably	מסתּמא
of course	אַוודאי
on the contrary	אַדרבא
necessarily	דווקא
grandchild	אייניקל
great-grandchild	אור־אייניקל
great-grandmother	אור־באָבע
adulterer	נואף
match	זיווג
affinity	מחותּנישאַפֿט
-ship	־שאַפֿט
male	מחותּן
mother-in-law	שוויגער
חתונה	חתונה האָבן
חתונה	חתונה־געהאַט
חתן	חתן־כּלה
bride	כּלה
veiling	באַדעקנס
married couple	פּאָרפֿאָלק
couple	פּאָרל
thief	גזלן
mandelbrot	מאַנדלבראָט
almond	מאַנדל
squeeze	קוועטשן
tzimmes	צימעס
dirt	שמוץ
schmutzy	שמוציק
novel	ראָמאַן
door	טיר
cold	קאַלט
suitcase	טשעמאָדאַן
