dog	犬
오줌	胱
chest	胷
chest	胸
정강이	胻
crisp	脆
vein	脈
spine	脊
base	脚
lip	脣
탈	脫
dried	脯
expand	脹
spleen	脾
armpit	腋
kidney	腎
six	腑
속	腔
arm	腕
머릿골	腦
tumour	腫
waist	腰
stuffy	腷
intestine	腸
belly	腹
gland	腺
thigh	腿
오줌	膀
려	膂
료	膋
corner	膕
skin	膚
membrane	膜
knee	膝
전	膞
vagina	膣
니	膩
meal	膳
breasts	膺
단	膻
gall bladder	膽
meat	膾
pus	膿
buttock	臀
arm	臂
chest	臆
cheek	臉
navel	臍
kneecap	臏
랍	臘
려	臚
라	臝
련	臠
serves	臣
wise	臤
림	臨
self	自
smell	臭
reach	致
platform	臺
pit	臽
용	舂
ruling	與
old	舊
tongue	舌
house	舍
무	舞
boat	舟
항	航
령	舲
rudder	舵
side	舷
ship	船
배	艈
ship	艚
싸움	艦
로	艪
로	艫
stop	艮
good	良
colour	色
Hanja	艶
Hanja	艷
륵	艻
애	艾
작	芍
medicinal	芣
waterside	芮
마름	芰
flower	花
운	芸
염	苒
령	苓
태	苔
harsh	苛
careless	苟
suffering	苦
UK	英
strawberry	苺
fragrance	苾
bud	茁
eggplant	茄
발	茇
렬	茢
mat	茵
용	茸
grass	草
thorns	荊
천	荐
제	荑
rough	荒
beans	荳
리	莅
리	莉
장	莊
男莖	莖
long	莘
관	莞
비름	莧
랑	莨
membrane	莩
막	莫
래	莱
늦	莻
완	菀
록	菉
chrysanthemum	菊
균	菌
celery	菫
bright	華
고	菰
菱形	菱
菽麥不辨	菽
췌	萃
래	萊
duckweed	萍
위	萎
sprout	萠
락	落
desire	願
저	著
오디	葚
arrowroot	葛
reed	葦
약	葯
총	葱
리	蒞
green	蒼
cover	蓋
수	蓚
moxa	蓬
련	蓮
plant	蓺
필	蓽
릉	蔆
belittle	蔑
sugar cane	蔗
울	蔚
루	蔞
Manchurian wild rice	蔣
총	蔥
음	蔭
폐	蔽
wander	蕩
뢰	蕾
rose	薇
벽	薜
hollyhock	薥
신	薪
서	薯
원	薳
straw	藁
자	藉
람	藍
art	藝
wisteria	藤
medicine	藥
fence	藩
린	藺
algae	藻
로	蘆
五蘊	蘊
wild ginger	蘘
롱	蘢
orchid	蘭
라	蘿
살	虄
tiger	虎
처	處
호	虖
로	虜
worry	虞
lose	虧
슬	虱
viper	虺
although	虽
자벌레	蚇
ant	蚍
지렁이	蚓
천	蚕
caterpillar	蚝
지렁이	蚯
쐐기	蛅
령	蛉
지렁이	蛐
와	蛙
spider	蛛
slug	蛞
거머리	蛭
번데기	蛹
moth	蛾
나라	蜀
bee	蜂
mayfly	蜉
리	蜊
랑	蜋
spider	蜘
beeswax	蜜
접	蜨
cicada	蜩
cicada	蜺
rainbow	蝀
전갈	蝎
slug	蝓
gecko	蝘
편	蝙
복	蝠
cantharides	蝥
snail	蝸
랑	螂
원	螈
나나니	螉
말	螞
glow-worm	螢
리	螭
라	螺
루	螻
지렁이	螾
쐐기	蟖
nits	蟣
말	蟥
cicada	蟬
insect	蟲
crab	蟹
번데기	蠁
라	蠃
newt	蠑
蠔殼	蠔
자벌레	蠖
랍	蠟
려	蠡
려	蠣
silkworm	蠶
barbarian	蠻
blood	血
뉵	衄
crowd	衆
간	衎
wits	術
동	衕
street	街
protection	衛
collide	衝
형	衡
highway	衢
clothes	衣
table	表
쇠	衰
robe	袁
bag	袋
단	袒
sleeve	袖
책갑	袟
sleeve	袪
인	裀
렬	裂
장	装
뇨	裊
벌거숭이	裎
리	裏
collect	裒
thin	裯
라	裸
wrap	裹
build	製
brown	褐
포	褒
beautiful	褘
vest	褚
roll up	褰
습	褶
루	褸
apron	襜
lapel	襟
strip	襢
람	襤
버선	襪
襲擊	襲
belt	襻
importance	要
domination	覇
law	規
멱	覓
see	視
intimate	親
람	覽
see	觀
근	觔
dissatisfied	觖
자	觜
해	解
horse	觳
치	觶
count	計
attack	討
big	訏
stammer	訒
teaching	訓
abuse	訕
record	記
erroneous	訛
결	訣
말	訥
visit	訪
establish	設
approve	許
bad-mouth	訾
how	詎
이	詒
biased	詖
word	詞
sing	詠
test	試
poetry	詩
deceive	詭
speak	話
상	詳
inquire	詵
arrive	詹
quarrel	詻
꾀다	誂
뢰	誄
예	誉
know	認
sigh	誒
유	誘
language	語
sincerity	誠
error	誤
inform	誥
recite	誦
lesson	課
수	誶
gentle	誾
조	調
conversation	談
량	諒
argument	論
jokes	諢
remonstrate	諫
instruct	諭
conceal	諱
truth	諶
언	諺
cheat	諼
낙	諾
lie	謊
riddle	謎
slandering	謗
reading	講
apologize	謝
song	謠
류	謬
slander	謷
resent	譈
증	證
guard	警
discuss	議
scold	譴
change	變
원수	讐
slander	讒
환	讙
praise	讚
open	豁
bean	豆
cowpea	豇
개	豈
례	豊
pig	豚
연	豣
leopard	豹
dhole	豺
담비	貂
brave	貅
appearance	貌
tree	나무
리	貍
오소리	貒
cat	貓
fox	貔
맥	貘
스라소니	貙
clam	貝
wealth	財
give	貢
poverty	貧
stack up	貯
rent	貰
precious	貴
폄	貶
buy	買
대	貸
spend	費
stick	貼
뢰	賂
뇌물	賄
wealth	資
가	賈
thief	賊
guest	賓
뢰	賚
prize	賞
virtuous	賢
sell	賣
뢰	賴
장물	贓
강	贛
run	走
rise	起
진	趁
취	趣
추	趨
nimble	趫
foot	足
박	趵
lax	跅
trample	跆
파	跛
few	跬
로	路
jump	跳
량	踉
밟다	踖
권	踡
부	踣
발	踦
level	踧
footprint	踪
heel	踵
totter	蹁
step	蹋
tread	蹠
hesitate	蹢
교	蹺
arrogant	蹻
저	躇
leap	躍
렵	躐
력	躒
린	躙
sandals	躧
Japan	日本
scuttle	躩
린	躪
body	身
body	躬
body	軀
army	軍
령	軨
교	較
로	輅
light	輕
릉	輘
량	輛
shine	輝
련	輦
wheel	輪
rims	輮
집	輯
send	輸
linchpin	轄
axle	轅
록	轆
turn	轉
palanquin	轎
린	轔
roar	轟
력	轢
력	轣
로	轤
bitter	辛
crime	辜
백	辟
랄	辢
manage	辦
변	辨
debate	辯
Hanja	辰
agriculture	農
착	辵
오	迂
quick	迅
meet	迎
이	迤
arrive	迨
책	迮
get lost	迷
퇴	退
send	送
reverse	逆
wander	逍
transparent	透
축	逐
collect	逑
way	途
pass through	通
령	逞
fast	速
lead	連
병	逬
escape	逭
체	逮
week	週
far	逴
winding	逶
force	逼
둔	遁
quick	遄
meet	遇
move	運
principle	道
reach	達
류	遛
modesty	遜
distant	遠
적	適
meet	遭
지	遲
린	遴
move	遷
selection	選
follow	遹
료	遼
환	還
전	邅
edge	邊
려	邌
라	邏
리	邐
eup	邑
리	鯉
country	邦
사	邪
한	邯
비	邳
house	邸
욱	郁
outskirts	郊
man	郎
county	郡
둘레	郭
침	郴
capital city	都
향	鄕
mean	鄙
나라	鄭
린	鄰
단	鄲
광	鄺
력	酈
술	酌
match	配
drunk	酗
초	酢
butter	酥
락	酪
yeast	酵
cruel	酷
뢰	酹
초	醋
waking up	醒
homely	醜
brew	醞
mince	醢
료	醪
medicine	醫
ferment	醱
례	醴
filter	釃
변	釆
village	里
opposition	野
volume	量
cauldron	釜
blunt	釰
채	釵
인	釼
병거	鈀
균	鈞
령	鈴
동발	鈸
호미	鉏
gold	鉑
바리때	鉢
징	鉦
romantic	CC
silver	銀
gun	銃
copper	銅
낫	銍
예	銳
수	銹
호미	鋤
예	鋭
lithium	鋰
병	鋲
강철	鋼
write down	錄
ammonium	錏
순	錞
기	錡
brocade	錦
묘	錨
동	錬
confine	錮
착	錯
록	録
가래	鍤
가래	鍬
key	鍵
침	鍼
sickle	鎌
류	鎏
호미	鎒
추	鎚
강철	鎠
자	鎡
련	鏈
sword	鏌
mirror	鏡
루	鏤
린	鏻
수	鏽
뇨	鐃
료	鐐
dagger	鐔
로	鐪
iron	鐵
caldron	鑊
mirror	鑑
mirror	鑒
mine	鑛
려	鑢
갈고리	鑩
로	鑪
라	鑼
란	鑾
괭이	钁
괭이	钃
gate	門
flash	閃
폐	閉
blocked	閊
open	開
gate	閎
윤	閏
한	閒
close	閟
윤	閠
chamber	閣
boisterous	閧
lost	閪
랑	閬
려	閭
inspect	閱
inspect	閲
zephyr	閶
gatekeeper	閽
adult	闆
gate	闈
활	闊
란	闌
wind	闏
탑	闒
close	闔
관	闗
market place	闤
door	闥
hill	阜
slope	阤
길	阨
slope	阪
구덩이	阬
완	阮
dam	防
피	陂
루	陋
라	陏
defile	陘
협	陜
고을	陝
climb	陟
institution	院
remove	除
spread	陳
릉	陵
도	陶
fall into	陷
sky	陽
륭	隆
team	隊
fall	隕
high	隗
narrow	隘
crack	隙
occasion	際
block	障
hide	隩
땅	隬
오르다	隮
hide	隱
롱	隴
례	隸
작	雀
wild goose	雁
male	雄
elegant	雅
collection	集
품	雇
호	雐
although	雖
pair	雙
heron	雚
chicken	雞
difficulty	難
snow	雪
atmosphere	雰
cloud	雲
뢰	雷
hail	雹
electricity	電
instant	霎
rainbow	霓
림	霖
frost	霜
fall	霝
light	霞
fog	霧
산	霰
로	露
best	霸
thunder	霹
력	靂
령	靈
학	靏
blue	靑
ornament	靚
not	非
side	面
혁	革
martingale	靳
가죽	靴
뉴	靵
reins	靶
말	靺
안장	鞍
재갈	鞚
칼집	鞞
bundle	鞬
탑	鞳
bellows	鞴
큰 띠	鞶
boots	鞾
reins	韁
란	韊
leather	韎
나라	韓
correct	韙
hide	韞
knee-pad	韠
구	韭
구	韮
sound	音
rhyme	韻
책	頁
crown	頂
경	頃
clause	項
obedience	順
송	頌
반	頒
돈	頓
leading	領
힐	頡
cheeks	頤
bend	頫
head	頭
회	頮
cheeks	頰
곧다	頲
neck	頸
뢰	顂
grain	顆
title	題
forehead	額
an	顏
honest	顓
face	顔
skull	顖
top	顚
kind	類
emaciated	顦
temple	顬
로	顱
wind	風
typhoon	颱
렬	颲
fly	颺
wind	颻
료	飂
flutter	飃
료	飉
fly	飛
번	飜
sacrifice	飣
전	飦
drink	飮
meal	飯
drink	飲
이	飴
feed	飼
full	飽
rice cake	餅
raise	養
찬	餐
hungry	餓
remainder	餘
rice cake	餠
feed	餧
spoiled	餲
side dish	饌
의	饐
breakfast	饔
그릇	饛
gluttonous	饞
dry	饟
head	首
cheekbone	馗
fragrance	香
순	馴
refute	駁
stationed	駐
cart	駕
close	駙
camel	駝
변	駢
terrify	駭
락	駱
준	駿
stupid	騃
병	騈
말	騎
run	騖
달리다	騳
groom	騶
라	騾
noble	驁
expel	驅
라	驘
station	驛
려	驪
bone	骨
hips	骶
corpse	骸
bony	骾
비	髀
과	髁
루	髏
skull	髑
bone	髓
body	體
kneecap	髕
high	高
고	髙
표	髟
beard	髥
hair	髮
beard	髯
불	鬅
beautiful	鬈
머리	鬙
beard	鬚
bind	鬠
렵	鬣
fight	鬥
료	鬧
홍	鬨
fight	鬪
unhindered	鬯
울	鬰
stuffy	鬱
cauldron	鬴
ghost	鬼
soul	魂
charm	魅
brown	魋
량	魎
Wei	魏
리	魑
fish	魚
anchovy	魛
cutlassfish	鮆
메기	鮎
blowfish	鮐
roe	鮞
아귀	鮟
small	鮠
제	鮧
지	鮨
다랑어	鮪
smooth	鮮
disaster	鯁
혼	鯇
minnow	鯈
치	鯔
mackerel	鯖
도미	鯛
herring	鯡
도롱뇽	鯢
곤이	鯤
whale	鯨
small	鯫
Carassius auratus	鯽
련	鰊
메기	鰋
악어	鰐
gill	鰓
蝦	鰕
sole	鰨
약	鰯
salmon	鰱
륵	鰳
조	鰷
견	鰹
설	鱈
sturgeon	鱏
鱖魚	鱖
scale	鱗
carp	鱣
례	鱧
sea bass	鱸
려	鱺
bird	鳥
duck	鳧
pigeon	鳩
령	鴒
재두루미	鴰
quail	鴳
참새	鴴
백로	鵁
곡	鵠
parrot	鵡
조	鵰
phoenix	鵷
swan	鵾
백로	鶄
순	鶉
swan	鶤
oriole	鶬
Chinese	鶯
crane	鶴
류	鶹
prow	鷁
chicken	鷄
eyas	鷇
seagull	鷗
nightingale	鷪
hawk	鷹
peregrine falcon	鸇
nightingale	鸎
로	鸕
parrot	鸚
crane	鸛
란	鸞
salt	鹵
령	鹷
록	鹿
giraffe	麒
록	麓
beautiful	麗
musk deer	麝
roe deer	麞
린	麟
Hanja	麤
wheat	麥
포	麭
barley	麲
yeast	麴
wheat flour	麵
small	麼
yellow	黃
黃	黄
누른빛	黈
school	黌
리	黐
black	黑
검	黔
dirt	黕
point	點
black	黟
blue-black	黤
리	黧
party	黨
black	黮
dark	黯
담	黵
타	鼉
mouse	鼠
鼴	鼢
생	鼪
marmot	鼫
날다람쥐	鼯
鼴	鼴
mouse	鼷
鼴	鼹
nose	鼻
tooth	齒
이	齔
bite	齕
령	齡
gum	齦
깨물다	齩
narrow	齪
깨물다	齮
물다	齰
narrow	齷
이	齾
룡	龍
방	龐
룡	龒
polite	龔
niche	龕
화	龢
거위	鵝
item	ea
Tibet	西藏
Internet cafe	PC방
pyeong	py
Chinese character	漢字
tobacco	煙草
English	英語
yin-yang	陰陽
Japan	일본
shark	상어
allomorph	-를
garlic	마늘
Thursday	木曜日
thunder	雷鳴
yesterday	昨日
telephone	電話
Australia	濠洲
Islam	回教
Beijing	北京
birth	出生
crafts	工作
wine	葡萄酒
instruction	教授
this year	今年
pharmacy	약실
Chinese	漢語
ideal	理想
one	하나
four	넷
five	다섯
six	여섯
seven	일곱
eight	여덟
nine	아홉
national	國語
today	今日
import	輸入
longitude	經度
present	現在
idiom	熟語
Traditional Chinese	繁體字
Pinyin	拼音
boy	少年
glasses	眼鏡
snake	뱀
part of speech	品詞
shrine	神社
모래	모래상자
God	하나님
red	발갛다
bat	蝙蝠
angel	天使
f**k	18
remote	고립지
pig	돼지
table tennis	卓球
sound	소리
hangeul	반시옷
giyeok	기역
friend	친구
declinable	用言
verb	動詞
giraffe	麒麟
사람	음훈
hanja	훈
consultation	協議
Buddhism	佛教
rickshaw	人力車
Neptune	海王星
humanity	人道
personality	人格
artificiality	人工
population	人口
people	人民
life	人生
race	人種
human	人類
read	읽다
Korean	조선어
Russian	러시아어
world	世界
world	세계
pottery	도기
pomegranate	석류
contempt	蔑視
aversion	厭惡
hangeul	字母
life	생
plant	심다
loss	상실
today	오늘
word	낱말
name	이름
rumour	所聞
rumour	소문
possibility	가능성
excretion	排泄
each	낱
Chinese New Year	설날
soul	넋
passenger	여객
spiritual	영적
menu	메뉴
explanation	설명
guardian	후견인
limitlessness	무제한
duty	의무
castration	거세
bug	벌레
month	월
throat	인후
canyon	협곡
after	후
two	두
pollen	꽃가루
pollen	花粉
oesophagus	식도
line	선
sofa	소파
money	돈
farmer	소농
hatred	증오심
cockroach	바퀴벌레
parent	부모
chopstick	젓가락
navy	해군
chart	해도
sea level	해발
starfish	불가사리
Arabian	아라비아인
Arabia	아라비아
monkey	원숭이
translation	飜譯
飜譯	번역
merperson	人魚
taekwondo	태권도
taekwondo	跆拳道
三月	삼월
March	三月
patheticness	寒心
Mandarin	普通話
I Ching	易經
unnecessary	TMI
coffee	咖啡
Bible	聖書
Hangul	한글
life	삶
tone	聲調
wide	넓다
earth	흙
fowl	닭
none	없다
genius	天才
kneel	꿇다
gravity	重力
freedom	自由
laver	海苔
article	冠詞
actor	俳優
Huaqiao	華僑
hanja	部首
center	中央
transportation	交通
origin	起源
tea ceremony	茶道
hanja	俗字
Pyongyang	平壤
soju	燒酒
soju	소주
hero	英雄
particle	助詞
convulsion	痙攣
Han character	六書
pictogram	象形
lifestyle	生活
shogunate	幕府
humankind	인류
invitation	招待
absurdity	無理
class	授業
adjective	形容詞
law	法律
airport	空港
hospital	病院
X	XX
habit	習慣
grassland	草原
human being	사람
starting	~
earthquake	地震
religion	宗教
police station	警察署
kowtow	叩頭
Japanese	日本人
February	二月
black	黑人
zelkova	느티나무
Solar System	太陽系
sun	太陽
girl	少女
anus	肛門
musical scale	音階
vocabulary	語彙
resolution	解決
Christmas seal	-
sexual intercourse	性交
pronunciation	발음
whisper	속삭임
lemongrass	레몬그래스
full name	姓名
excrement	大便
atom	原子
reproductive organ	生殖器
용	䶬
family	家族
definition	定義
noun	名詞
bhikkhu	比丘
monk	僧侶
bodhisattva	菩薩
library	도서관
boy	남자
self-	自己紹介
umbrella	우산
umbrella	雨傘
goatee	염소 수염
mustache	수염
mahjong	麻雀
arbitrary	N
Busan	PK
Vietnam	越南
sea otter	海獺
newspaper	新聞
maybe	아마도
perhaps	아마
be	多分
위키	위키낱말사전
encyclopaedia	百科事典
justice	司法
encyclopaedia	百科全書
this	이것
doll	인형
newspaper	신문
cat	고양이
automobile	자동차
book	책
contempt	輕視
twenty	二十
Hong Kong	香港
system	制度
part	部分
Sunday	日曜日
hello	여보세요
madam	婦人
place name	地名
melancholy	憂鬱
electron	電子
encyclopedia	事典
native language	母語
similarity	類似
reason	理由
swimming	水泳
doll	人形
figure	人物
land	土地
venomous	毒蛇
amendment	改正
nature	自然
adult	大人
original	原文
illiteracy	文盲
area	地域
position	地位
underground	地下
public	治安
Monday	月曜日
Tuesday	火曜日
Wednesday	水曜日
Friday	金曜日
Saturday	土曜日
geography	地理
straight line	直線
wages	賃金
mountain climbing	登山
magnet	磁石
love	愛情
handshake	握手
foreigner	外人
committee	委員
opinion	意見
determination	意志
maintain	維持
chair	椅子
strange	異常
aforementioned	以上
consciousness	意識
heretofore	以前
kind	一種
Classical Chinese	漢文
lifetime	一生
clothing	衣服
meaning	意味
master	大家
easiness	容易
pregnancy	妊娠
printing	印刷
impression	印象
emergency	非常
normality	普通
black tea	紅茶
chrysanthemum	菊花
yuzu	柚子
time	時間
Jew's-ear	木耳
egg white	卵白
soup	설렁탕
chemical	元素
statistics	統計
analysis	解析
quantum	量子
animal	動物
questions	問答
uselessness	無用
spirit	精神
language	言語
proton	陽子
neutron	中性子
tragedy	喜劇
platinum	白金
refusal	拒否
green tea	綠茶
particle	粒子
speed	速度
army	軍隊
education	教育
news	消息
person	混血
blood plasma	血漿
criminal	犯人
victim	被害者
specialness	特殊
incident	事件
antiparticle	反粒子
greatest	最大
suicide	自殺
square	平方
cube	立方
homework	宿題
hair	頭髮
parrot	鸚鵡
Earth	地球
phoneme	音素
musical	반주
mysteriousness	不可思議
theory	理論
gerund	動名詞
Iraqi	이라크어
evolution	進化
cull	淘汰
trigonometry	三角法
prohibition	禁止
organism	生物
speak	말하다
entrance	入口
cow's milk	우유
Serbian	세르비아어
fraud	詐欺
cell	細胞
judge	裁判官
court	裁判所
disaster	災難
talent	才能
property	財産
shooting	撮影
설탕	砂糖
accident	事故
fund	資金
four	四季
self-confidence	自信
muscle	筋肉
airplane	飛行機
past	過去
plants	植物
road	道路
factory	工場
necessity	必要
skin	皮膚
grandfather	祖父
uncle	叔父
uncle	伯父
regime change	정권 변화
perfection	完全
city	都市
postcard	葉書
regret	後悔
happiness	幸福
pencil	鉛筆
almost	大同小異
kill two birds with one stone	一舉兩得
grey	灰色
the more the merrier	多多益善
Tokyo	토오쿄
bathroom	浴室
calligraphy	書法
outer space	宇宙
watch	視聽
microorganism	微生物
cosmology	宇宙論
university	大學
understanding	理解
government	政府
continent	大陸
grass script	草書
go	가다
American English	美國英語
technology	技術
hangeul	조선글
kitchen	부엌
eat	먹다
come	오다
astronomy	天文學
spiritual	修道
rice	水稻
tunnel	隧道
tai chi	太極
peace	和平
Mencius	孟子
development	發展
Jilin	吉林
thanks	感謝
Tuesday	화요일
Friday	금요일
every day	매일
promise	約束
military	군인
Shinto	神道
mystery	神秘
holiness	神聖
Classical Chinese	文言
train	列車
goodwill	好感
addition	가감
close	가깝다
together	같이
more	더
well	잘
good	좋다
thing	것
ant	개미
like	-처럼
wing	날개
forget-me-not	勿忘草
forget-me-not	물망초
chair	의자
she	그녀
full	가득
caffeine	카페인
national	국어
love	사랑하다
when	언제
frog	개구리
be	있다
fruit	과일
health	건강
low	낮다
slow	느린
wolf	늑대
many	많다
pants	바지
such	저런
dream	꿈
policeman	警察官
divide	나누다
penis	좆
make	만들다
horsepower	馬力
older sister	누나
son of a bitch	개새끼
oxygen	산소
mosquito	모기
difficult	어렵다
cheat	속다
gum	껌
singer	歌手
big	크다
uncle	삼촌
dimple	보조개
needle	바늘
basket	바구니
sea	바다
teacher	先生
Monday	월요일
Wednesday	수요일
Saturday	토요일
Sunday	일요일
Thursday	목요일
maggot	구더기
elephant	코끼리
French	불어
German	독일어
tadpole	올챙이
performance	演出
cathode	陰極
know	모르다
Republic of Korea	대한민국
occasionally	가끔
wisteria	등나무
lemon	레몬
duck	오리
complexity	複雜
Japanese	日語
day after tomorrow	모레
become	그릇되다
investigation	調査
protagonist	主人公
poor	가난하다
spy	스파이
dog	수캐
bitch	암캐
gram	그램
milligram	밀리그램
kilogram	킬로그램
kilo	킬로
gap	갭
lie	거짓말
kumquat	금귤
watermelon	수박
tomato	토마토
cherry	버찌
peach	복숭아
banana	바나나
strawberry	딸기
pupil	生徒
fly	날다
index	색인
egg	알
summer	여름
autumn	가을
winter	겨울
honey	꿀
merchandise	商品
essay	小品
peace	平和
caravan	隊商
lowering	低下
alien	宇宙人
police	警察
cold	감기
arthritis	관절염
mad cow disease	광우병
rabies	광견병
disease	질병
powerlessness	無力
parotitis	볼거리
mumps	유행성 이하선염
food poisoning	식중독
AIDS	후천성면역결핍증
AIDS	에이즈
spinach	시금치
cucumber	오이
soybean	콩
onion	양파
celery	셀러리
fish	물고기
swallow	제비
eagle	독수리
pigeon	비둘기
white	백조
tundra swan	고니
tree sparrow	참새
mute	벙어리
Cuculus canorus	뻐꾸기
parrot	앵무새
black swan	흑고니
ass	나귀
chipmunk	다람쥐
mule	노새
roe deer	노루
moth	나방
magpie	까치
crow	까마귀
rose	장미
forsythia	개나리
train	汽車
edible	나물
go out	나가다
need	필요
light	가볍다
thin	가늘다
regret	遺憾
golf	골프
football	축구
table tennis	탁구
力道	역도
baseball	야구
tennis	테니스
tennis	정구
knowledge	知識
preparation	準備
sky	하늘
spoon	숟가락
sea horse	해마
carp	잉어
p.m.	오후
a.m.	오전
morning	아침
Greek	그리스어
Latin	라틴어
basketball	농구
volleyball	배구
boxing	권투
boxing	복싱
wrestling	레슬링
handball	송구
club	방망이
handball	핸드볼
performance	演奏
swimming	수영
hockey	하키
field hockey	필드하키
judo	유도
hole	구멍
free	공짜
bag	주머니
cockfighting	닭싸움
snail	달팽이
squid	오징어
octopus	낙지
mussel	홍합
red	홍학
molluscan	조개
dust	먼지
art	藝術
curtain	커튼
bacteria	세균
maple	단풍
maple	단풍나무
nut	견과
any	아무
mum	엄마
older sister	언니
elder brother	오빠
dad	아빠
household	가족
son	아들
grandfather	할아버지
grandson	손자
sunlight	햇빛
nephew	조카
hungry	배고프다
spouse	배우자
spouse	配偶者
grandmother	할머니
father	아버지
change	바꾸다
amphibian	양서류
hairpin	비녀
necklace	목걸이
半指	반지
bracelet	팔찌
twinned	가락지
China	중국
Republic of China	中華民國
volleyball	排球
million	백만
born	태어나다
tuna	참치
鯖	다랑어
mackerel	고등어
Scombridae	고등어과
tuna	눈다랑어
tuna	부채선인장
cactus	선인장
clownfish	흰동가리
eel	장어
anchovy	멸치
kissing gourami	키싱 구라미
grape	포도
tomorrow	내일
